seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
2007,1967,DooWop,RhythmAndSoul,1954,1965,0.85,0.05,14,14,0,0,0,0,0,0,14,0,14,0,0,8,6,224332,0.18672977515772982,21663,8.806276550336388,16023.714285714286,81854,143128,36.38246615284778,0.05192876923076925,75.78846153846153,0.3269230769230769,0.1170989285714286
2007,1967,EasyListening,Pop,1950,,0.35,0.6,94,36,55,3,0,0,0,0,90,15,75,16.666666666666668,15,71,4,3248820,2.7042572086369123,612843,15.869924434110382,34561.914893617024,1747903,1502116,53.78131635538131,0.7113503708791209,240.46153846153845,8.423076923076923,0.8203200467032964
2007,1967,Folk,Folk,1958,1966,0.5,0.35,9,9,0,0,0,0,0,0,9,2,7,22.22222222222222,2,5,2,2974339,2.475784340677509,361554,10.838297271525196,330482.1111111111,1765702,1209711,59.34308951395991,0.4223219972527471,214.3653846153846,6.5,0.3273696565934065
2007,1967,FolkRock,Folk,1965,,0.55,0.7,60,24,33,3,0,0,0,0,60,55,5,91.66666666666667,55,1,4,5042268,4.197089893216376,1115427,18.1143593503738,84037.8,5043856,0,100,0.8300733516483517,25.557692307692307,5.846153846153846,2.1640391785714286
2007,1967,Funk,RhythmAndSoul,1967,,0.7,0.4,32,2,27,3,0,0,0,0,32,28,4,87.5,28,2,2,2418178,2.0128462913510723,476064,16.44865909623314,75568.0625,2418650,0,100,0.5632341456043953,11.48076923076923,3.25,0.7921280906593409
2007,1967,GarageRock,Rock,1963,1968,0.85,0.55,78,34,41,3,0,0,0,0,78,5,73,6.410256410256411,5,69,4,640246,0.5329288359468818,127190,16.57336898451467,8208.28205128205,387539,253278,60.47576765285565,0.6152424010988967,137.57692307692307,0.4807692307692308,0.2514313846153849
2007,1967,Gospel,Gospel,1950,,0.5,0.45,172,125,44,3,0,0,0,0,171,14,157,8.187134502923977,14,148,9,2949381,2.4550097667050634,556037,15.862216717093368,17147.56395348837,1986439,965130,67.30112018387508,0.5787017307692303,410.78846153846155,2.730769230769231,0.9148603543956046
2007,1967,HardRock,Rock,1967,,0.4,0.3,35,9,23,3,0,0,0,0,35,27,8,77.14285714285714,27,3,5,1399235,1.1646971316745987,440534,23.945071364937665,39978.142857142855,1399889,0,100,0.5153532692307686,12.711538461538462,2.0961538461538463,0.5372742994505493
2007,1967,Jazz,Jazz,1945,,0.3,0.4,139,106,30,3,0,0,0,0,139,17,122,12.23021582733813,17,103,19,7393168,6.153935231457496,1862697,20.12450484098461,53188.25899280576,2930879,4464220,39.6327216173847,0.5200000000000025,424.2692307692308,45,1.1092851208791215
2007,1967,LatinPop,Latin,1958,,0.6,0.35,40,15,22,3,0,0,0,0,39,1,38,2.5641025641025643,1,35,3,324873,0.270418229431455,128073,28.275556026546212,8121.825,147053,178165,45.21674692052716,0.42380824450549465,61.26923076923077,0.7692307692307693,0.11926818406593404
2007,1967,ProgressiveRock,Rock,1968,,0.25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175410978021978,0,0,0
2007,1967,ProtoMetal,Rock,1968,,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15027393131868164,0,0,0
2007,1967,ProtoPunk,Rock,1967,,0.4,0.15,18,5,10,3,0,0,0,0,18,12,6,66.66666666666667,12,5,1,104931,0.08734260844228976,41588,28.384032105051222,5829.5,105162,0,100,0.21645256043956063,5.903846153846154,0,0.15662059065934053
